参数名,标准化参数名,参数英文名,类型,参数类型,接口名,数据分类,取值范围,取值说明,示例值
symbol,symbol,symbol,str,输入参数,"stock_zh_a_hist;stock_zh_a_daily;stock_individual_info_em;stock_individual_basic_info_xq",股票数据,股票代码(6位数字)，A股以0或3开头(深市)、6开头(沪市)、8或4开头(北交所/科创板),用于指定查询的股票。格式：6位数字代码，如000001(平安银行)、600000(浦发银行)、300001(创业板)、688001(科创板),"000001;600000;300001;688001"
start_date,start_date,start_date,str,输入参数,"stock_zh_a_hist;stock_zh_a_daily;index_zh_a_hist;futures_hist_em;fund_etf_hist_em",股票数据/指数数据/期货数据/基金数据,开始日期，格式YYYYMMDD或YYYY-MM-DD,查询数据的起始日期，需早于或等于end_date，"20230101;2023-01-01"
end_date,end_date,end_date,str,输入参数,"stock_zh_a_hist;stock_zh_a_daily;index_zh_a_hist;futures_hist_em;fund_etf_hist_em",股票数据/指数数据/期货数据/基金数据,结束日期，格式YYYYMMDD或YYYY-MM-DD,查询数据的结束日期，需晚于或等于start_date，"20231231;2023-12-31"
adjust,adjust,adjust,str,输入参数,"stock_zh_a_hist;stock_zh_a_daily;stock_zh_a_hist_tx;fund_etf_hist_em;fund_lof_hist_em",股票数据/基金数据,"复权类型：qfq(前复权)、hfq(后复权)、None或空(不复权)",用于选择复权类型。前复权将历史价格调整为当前价格，后复权将当前价格调整为历史价格，"qfq;hfq;"
period,period,period,str,输入参数,"stock_zh_a_hist;stock_zh_a_daily;index_zh_a_hist;fund_etf_hist_em",股票数据/指数数据/基金数据,"数据周期：daily(日线)、weekly(周线)、monthly(月线)",用于指定数据频率。日线为每个交易日，周线为每周最后一个交易日，月线为每月最后一个交易日，"daily;weekly;monthly"
date,date,date,str,输入参数,"macro_info_ws;news_economic_baidu;stock_zh_a_daily;stock_zh_a_hist_tx",宏观数据/股票数据/指数数据,日期，格式YYYYMMDD或YYYY-MM-DD,用于指定单日数据查询，"20240514;2024-05-14"
market,market,market,str,输入参数,"stock_hsgt_hold_stock_em;stock_individual_fund_flow;futures_zh_spot",股票数据/期货数据,"市场代码：sh(上海)、sz(深圳)、hk(香港)、us(美国)、all(全部)",用于指定金融市场或交易所，"sh;sz;hk;us;all"
name,name,name,str,输入参数,"stock_info_a_code_name;stock_info_change_name;stock_zh_a_new;stock_sector_detail",股票数据,股票名称(中文)或代码,支持按股票名称或代码模糊查询，"平安银行;浦发银行;000001"
code,code,code,str,输入参数,"stock_info_a_code_name;fund_hk_fund_hist_em;stock_zh_a_new;stock_sector_detail",股票数据/基金数据,股票代码或基金代码,用于精确查询指定证券，"000001;560002"
kind,kind,kind,str,输入参数,"macro_china_nbs_nation;macro_china_nbs_region;stock_intraday_sina",中国宏观数据/股票数据,"数据类型：具体取值需参考各接口文档",用于指定子类别或细分数据类型，"参见接口文档"
year,year,year,str,输入参数,"stock_analyst_rank_em;fund_fh_em;fund_cf_em;fund_aum_hist_em",股票数据/基金数据,年份(4位数字),用于查询特定年份的数据，"2023;2024"
quarter,quarter,quarter,str,输入参数,"stock_institute_hold_detail;fund_portfolio_hold_em",股票数据/基金数据,"季度：1(第一季度)、2(第二季度)、3(第三季度)、4(第四季度)",用于查询特定季度的数据，"1;2;3;4"
city_first,city_first,city_first,str,输入参数,macro_china_new_house_price,中国宏观数据,"城市名称(中文)：如北京、上海、广州、深圳等",用于新房价数据查询的城市选择，"北京;上海"
city_second,city_second,city_second,str,输入参数,macro_china_new_house_price,中国宏观数据,"城市名称(中文)：如北京、上海、广州、深圳等",用于新房价数据查询的对比城市选择，"北京;上海"
indicator,indicator,indicator,str,输入参数,"stock_analyst_detail_em;stock_sector_fund_flow_rank;stock_financial_analysis_indicator_em;fund_info_index_em",股票数据/基金数据,"指标类型：具体取值需参考各接口文档，如市盈率、净资产收益率等",用于指定要查询的具体财务或行情指标，"参见接口文档"
日期,日期,,object,输出参数,"stock_zh_a_hist;stock_zh_a_daily;macro_china_gdp_yearly;macro_china_shibor_all",股票数据/宏观数据,"日期格式：YYYY-MM-DD(如2023-01-15)或YYYYMMDD或年-月-日形式",数据发布日期或统计周期，"2023-01-15;2023年01月份"
时间,时间,,object,输出参数,"stock_zh_a_hist_min_em;stock_intraday_em;macro_china_swap_rate",股票数据/指数数据/宏观数据,"时间格式：HH:MM:SS(如09:30:00)或YYYY-MM-DD HH:MM:SS",数据时间戳或交易时间点，"09:30:00;14:30:00"
月份,月份,,object,输出参数,"macro_china_cpi;macro_china_ppi;macro_china_money_supply;macro_china_trade_balance",中国宏观数据,"月份格式：YYYY年MM月份(如2023年10月份)",统计月份，"2023年10月份;2024年01月份"
季度,季度,,object,输出参数,"macro_china_gdp;macro_china_enterprise_boom_index;fund_portfolio_hold_em",中国宏观数据/基金数据,"季度格式：YYYYQX(如2023Q1)或YYYY年第X季度",统计季度，"2023Q1;2024年第2季度"
商品,商品,,object,输出参数,"macro_china_gdp_yearly;macro_usa_non_farm;macro_usa_cpi_monthly;macro_euro_gdp_yoy",宏观数据,"经济指标名称：固定值，如'中国GDP年率报告'、'美国非农就业人数'等",宏观经济指标名称，一般为固定值，"中国GDP年率报告;美国非农就业人数"
今值,今值,,float64,输出参数,"macro_china_gdp_yearly;macro_china_cpi_yearly;macro_usa_non_farm;macro_euro_gdp_yoy",宏观数据,"当前发布的实际数值，单位因指标不同而异",最新发布的实际统计数据值，单位见具体指标描述，"-6.8至18.3(中国GDP年率%)"
预测值,预测值,,float64,输出参数,"macro_china_gdp_yearly;macro_china_cpi_yearly;macro_usa_non_farm;macro_euro_gdp_yoy",宏观数据,"市场预测值(部分指标可能为空)，单位因指标不同而异",市场机构预测的数值，用于对比实际值与预期，"-6.5至19.0"
前值,前值,,float64,输出参数,"macro_china_gdp_yearly;macro_china_cpi_yearly;macro_usa_non_farm;macro_euro_gdp_yoy",宏观数据,"上一次发布的数值，单位因指标不同而异",上一期发布的数值，用于环比分析，"-6.8至18.3"
涨跌幅,涨跌幅,,float64,输出参数,"stock_zh_a_spot_em;bond_zh_hs_spot;index_zh_a_hist;macro_china_bank_financing",股票数据/债券数据/指数数据/宏观数据,"涨跌幅比例，单位：%，正数表示上涨，负数表示下跌",价格或指数的变化百分比，"-10.5至15.3"
最新价,最新价,,float64,输出参数,"stock_zh_a_spot_em;bond_zh_hs_spot;index_zh_a_hist;fund_etf_spot_em",股票数据/债券数据/指数数据/基金数据,"当前交易价格，单位因品种不同而异(股票为元，基金为元，指数为点)",当前最新的交易价格，"15.23;3200.56"
成交量,成交量,,float64,输出参数,"stock_zh_a_hist;stock_zh_a_spot_em;index_zh_a_hist;futures_hist_em",股票数据/指数数据/期货数据,"成交数量，单位：股票为股，期货为手，基金为份",当日或统计期内的成交数量，"1000000;50000000"
成交额,成交额,,float64,输出参数,"stock_zh_a_hist;stock_zh_a_spot_em;index_zh_a_hist;futures_hist_em",股票数据/指数数据/期货数据,"成交金额，单位：元或亿元",当日或统计期内的成交金额，"100000000;50亿元"
最高,最高,,float64,输出参数,"stock_zh_a_hist;stock_zh_a_spot_em;bond_zh_hs_spot;index_zh_a_hist",股票数据/债券数据/指数数据,"最高价，单位：元或点",当日或统计期内的最高交易价格，"20.55;3500.00"
最低,最低,,float64,输出参数,"stock_zh_a_hist;stock_zh_a_spot_em;bond_zh_hs_spot;index_zh_a_hist",股票数据/债券数据/指数数据,"最低价，单位：元或点",当日或统计期内的最低交易价格，"19.80;3400.00"
